run_id,entity_id,category,source_url,fetched_at,raw,amount,amount_max,currency,unit,kind,source,context,date_raw,date,tax_included
80c248dd5eb3,004ffb992162eb1a4318a12f,tour,https://www.bestprice.vn/tour/ho-chi-minh-cai-be-can-tho-chau-doc-bac-lieu-ca-mau-4n3d-1091.html,2026-09-19T12:55:07.272412+00:00,5 đ,5.0,,VND,,reference,html,Quy định dịch vụ | Trẻ em (5 đến 10 tuổi) | Trẻ từ 5 - 10 tuổi: Tính 75% giá tour người lớn,,,
80c248dd5eb3,004ffb992162eb1a4318a12f,tour,https://www.bestprice.vn/tour/ho-chi-minh-cai-be-can-tho-chau-doc-bac-lieu-ca-mau-4n3d-1091.html,2026-09-19T12:55:07.272412+00:00,3890000 VND,3890000.0,,VND,,from,jsonld,structured offer; travel dates unspecified,,,
80c248dd5eb3,0145c9d31adc5b9b74f0b8e4,tour,https://www.bestprice.vn/tour/kham-pha-ve-dep-phuong-bac-thai-lan-chiang-mai-chiang-rai-2015.html,2026-09-19T12:52:53.237567+00:00,19.990.000đ,19990000.0,,VND,,original,html,product headline,,,
80c248dd5eb3,0145c9d31adc5b9b74f0b8e4,tour,https://www.bestprice.vn/tour/kham-pha-ve-dep-phuong-bac-thai-lan-chiang-mai-chiang-rai-2015.html,2026-09-19T12:52:53.237567+00:00,19.990.000đ,19990000.0,,VND,,from,html,product headline,,,
80c248dd5eb3,0145c9d31adc5b9b74f0b8e4,tour,https://www.bestprice.vn/tour/kham-pha-ve-dep-phuong-bac-thai-lan-chiang-mai-chiang-rai-2015.html,2026-09-19T12:52:53.237567+00:00,19.990.000đ,19990000.0,,VND,,departure,html,22/05/2025 - 31/12/2026 (Hàng ngày) Vé máy bay khứ hồi 19.990.000đ Giữ chỗ ngay,,,
80c248dd5eb3,0145c9d31adc5b9b74f0b8e4,tour,https://www.bestprice.vn/tour/kham-pha-ve-dep-phuong-bac-thai-lan-chiang-mai-chiang-rai-2015.html,2026-09-19T12:52:53.237567+00:00,2 đ,2.0,,VND,,reference,html,Quy định dịch vụ | Trẻ em (2 đến 11 tuổi) | 100% giá người lớn (Có chế độ giường riêng),,,
80c248dd5eb3,01692ac465aab96303f7515b,flight,https://www.bestprice.vn/ve-may-bay/thai-airways,2026-09-19T12:47:37.128426+00:00,70 USD,70.0,,USD,,reference,html,Một số đường bay của Thai Airways khởi hành từ Việt Nam | Bangkok (BKK) | ~ 70 USD | ~ 65 USD,,,
80c248dd5eb3,01692ac465aab96303f7515b,flight,https://www.bestprice.vn/ve-may-bay/thai-airways,2026-09-19T12:47:37.128426+00:00,65 USD,65.0,,USD,,reference,html,Một số đường bay của Thai Airways khởi hành từ Việt Nam | Bangkok (BKK) | ~ 70 USD | ~ 65 USD,,,
80c248dd5eb3,01692ac465aab96303f7515b,flight,https://www.bestprice.vn/ve-may-bay/thai-airways,2026-09-19T12:47:37.128426+00:00,59 USD,59.0,,USD,,reference,html,Một số đường bay của Thai Airways khởi hành từ Việt Nam | Chiang Mai (CNX) | ~ 59 USD | ~ 55 USD,,,
80c248dd5eb3,01692ac465aab96303f7515b,flight,https://www.bestprice.vn/ve-may-bay/thai-airways,2026-09-19T12:47:37.128426+00:00,55 USD,55.0,,USD,,reference,html,Một số đường bay của Thai Airways khởi hành từ Việt Nam | Chiang Mai (CNX) | ~ 59 USD | ~ 55 USD,,,
